Part type,Part name,Rank,StackHeight,CA Mirror,Data mask,Address width,Row width,Column width,Bank width,Bank group width,CS width,CKE width,ODT width,CK width,Memory speed grade,Memory density,Component density,Memory device width,Memory component width,Data bits per strobe,IO Voltages,Data widths,Min period,Max period,tCKE,tFAW,tFAW_dlr,tMRD,tRAS,tRCD,tREFI,tRFC,tRFC_dlr,tRP,tRRD_S,tRRD_L,tRRD_dlr,tRTP,tWR,tWTR_S,tWTR_L,tXPR,tZQCS,tZQINIT,tCCD_3ds,cas latency,cas write latency,burst length
RDIMMs,DDR4_2Rx8_Redshift,2,2,1,1,17,16,10,2,2,2,2,2,1,83,16GB,8Gb,72,8,8,1.2V,72,833,1600,5000 ps,13000 ps,16 tck,8 tck,32000 ps,14160 ps,7800000 ps,350000 ps,110000 ps,14160 ps,3300 ps,4900 ps,4 tck,7500 ps,15000 ps,2500 ps,7500 ps,360 ns,128 tck,1024 tck,5 tck,16,14,8
RDIMMs,DDR4_AWS_32GB,2,1,1,0,17,17,10,2,2,2,1,1,1,83,32GB,8Gb,72,4,4,1.2V,72,833,1600,5000 ps,15000 ps,0,8 tck,32000 ps,14160 ps,7800000 ps,350000 ps,0,14160 ps,3700 ps,5300 ps,0,7500 ps,15000 ps,2500 ps,7500 ps,360 ns,128 tck,1024 tck,0,15,11,8
RDIMMs,MTA18ASF4G72PDZ_32GB_CUSTOM,2,1,0,1,17,17,10,2,2,2,2,2,2,3G2,32GB,4Gb,72,8,8,1.2V,72,938,1600,5000 ps,15000 ps,0,8 tck,32000 ps,13920 ps,7800000 ps,260000 ps,0,13920 ps,5300 ps,6400 ps,0,7500 ps,15000 ps,2500 ps,7500 ps,270 ns,128 tck,1024 tck,0,22,20,8
RDIMMs,MTA36ASF8G72PZ_3G2F1_64GB_CUSTOM,2,1,0,0,18,18,10,2,2,2,2,2,2,3G2,64GB,16Gb,72,4,4,1.2V,72,938,1600,5000 ps,15000 ps,0,8 tck,33000 ps,14060 ps,7800000 ps,350000 ps,0,14060 ps,3700 ps,5300 ps,0,7500 ps,15000 ps,2500 ps,7500 ps,360 ns,128 tck,1024 tck,0,15,11,8
RDIMMs,M393A8G40AB2-CWE_64GB_CUSTOM,2,1,0,0,18,18,10,2,2,2,2,2,2,3200,64GB,16Gb,72,4,4,1.2V,72,938,1600,5000 ps,15000 ps,0,8 tck,33000 ps,14060 ps,7800000 ps,350000 ps,0,14060 ps,3700 ps,5300 ps,0,7500 ps,15000 ps,2500 ps,7500 ps,360 ns,128 tck,1024 tck,0,15,11,8
RDIMMs,M393A8G40BB4-CWE_64GB_CUSTOM,2,1,1,0,18,18,10,2,2,2,2,2,2,2133,64GB,16Gb,72,4,4,1.2V,72,938,1600,5000 ps,15000 ps,0,8 tck,33000 ps,14060 ps,7800000 ps,350000 ps,0,14060 ps,3700 ps,5300 ps,0,7500 ps,15000 ps,2500 ps,7500 ps,360 ns,128 tck,1024 tck,0,15,11,8
